,Ticker,Narative,MC Rank,MC,FDV,AVG Daily volume,ATH,LOW,Exchanges
104,ZKML,,,,,,,,
105,ZTX,,,,,,,,
106,ALPH,,,,,,,,
107,ATOM,,,,,,,,
108,AVB,,,,,,,,
109,BTN,,,,,,,,
110,CANTO,,,,,,,,
111,Clore,,,,,,,,
112,CREDI,,,,,,,,
113,CSPR,,,,,,,,
114,DNX,,,,,,,,
115,ETH,,,,,,,,
116,FACTR,,,,,,,,
117,FFM,,,,,,,,
118,Galeon,,,,,,,,
119,HTE,,,,,,,,
120,IXS,,,,,,,,
121,KARATE,,,,,,,,
122,LINK,,,,,,,,
123,MASSA,,,,,,,,
124,MATIC,,,,,,,,
125,NOVO,,,,,,,,
126,NXRA,,,,,,,,
127,OCAI,,,,,,,,
128,OFN,,,,,,,,
129,ORDI,,,,,,,,
130,PROPC,,,,,,,,
131,RIO,,,,,,,,
132,RNDR,,,,,,,,
133,RPK,,,,,,,,
134,RXD,,,,,,,,
135,SHIDO,,,,,,,,
136,SHM,,,,,,,,
137,SOV,,,,,,,,
138,STX,,,,,,,,
139,TET,,,,,,,,
140,THALES,,,,,,,,
141,TNGBL,,,,,,,,
142,TRADE,,,,,,,,
143,UPO,,,,,,,,
144,VAI,,,,,,,,
145,VSC,,,,,,,,
146,WNT,,,,,,,,
147,ADA,,,,,,,,
148,ANKR,,,,,,,,
149,APT,,,,,,,,
150,AR,,,,,,,,
151,ASTR,,,,,,,,
152,CKB,,,,,,,,
153,CQT,,,,,,,,
154,DESO,,,,,,,,
155,DOT,,,,,,,,
156,FIL,,,,,,,,
157,GAME,,,,,,,,
158,GHX,,,,,,,,
159,LYX,,,,,,,,
160,MCB,,,,,,,,
161,MIMO,,,,,,,,
162,MNW,,,,,,,,
163,MPL,,,,,,,,
164,NAKA,,,,,,,,
165,OGV,,,,,,,,
166,OP,,,,,,,,
167,PENDLE,,,,,,,,
168,POI$ON,,,,,,,,
169,PROPS,,,,,,,,
170,REGEN,,,,,,,,
171,REUNI,,,,,,,,
172,RVF,,,,,,,,
173,SUI,,,,,,,,
174,TOMI,,,,,,,,
175,UP,,,,,,,,
176,VET,,,,,,,,
177,WIFI,,,,,,,,
178,WSI,,,,,,,,
179,XWG,,,,,,,,
180,AIPAD,,,,,,,,
181,AKT,,,,,,,,
182,BLD,,,,,,,,
183,BLUR,,,,,,,,
184,BOBA,,,,,,,,
185,COQ,,,,,,,,
186,DC,,,,,,,,
187,DOGE,,,,,,,,
188,FLOKI,,,,,,,,
189,FXS,,,,,,,,
190,RDT,,,,,,,,
191,RJV,,,,,,,,
192,RSS3,,,,,,,,
193,SEI,,,,,,,,
194,SHIB,,,,,,,,
195,XRP,,,,,,,,
196,APE,,,,,,,,
197,BAND,,,,,,,,
198,DAG,,,,,,,,
199,ENJ,,,,,,,,
200,EVMOS,,,,,,,,
201,GLMR,,,,,,,,
202,GMX,,,,,,,,
203,LIT,,,,,,,,
204,MINA,,,,,,,,
205,ORAI,,,,,,,,
206,OSMO,,,,,,,,
207,PRQ,,,,,,,,
208,ROSE,,,,,,,,
209,SOL,,,,,,,,
210,TAMA,,,,,,,,
211,THETA,,,,,,,,
212,WAS,,,,,,,,
213,CCD,,,,,,,,
214,CELO,,,,,,,,
215,ICP,,,,,,,,
216,JUNO,,,,,,,,
217,KAVA,,,,,,,,
218,KUJI,,,,,,,,
219,LUNC,,,,,,,,
220,NTRN,,,,,,,,
221,OMI,,,,,,,,
222,SCRT,,,,,,,,
223,TRX,,,,,,,,
224,UOS,,,,,,,,
225,VOLT ,,,,,,,,
226,OMNI,,,,,,,,
227,ZETA,,,,,,,,
228,MP,,,,,,,,
229,HUHU,,,,,,,,
230,VOYA,,,,,,,,
231,PORTAL,,,,,,,,
232,VELAR,,,,,,,,
233,PLS,,,,,,,,
234,PANDORA,,,,,,,,
235,POLYX,,,,,,,,
236,AEGIS,,,,,,,,
237,TADA,,,,,,,,
238,BABYLON,,,,,,,,
239,EIGENLAYER,,,,,,,,
240,BIFINITY,,,,,,,,
241,B2,,,,,,,,
242,MERL,,,,,,,,
243,GELIOS,,,,,,,,
244,ENA,,,,,,,,
245,KATA,,,,,,,,
246,SURF,,,,,,,,
247,GIZA,,,,,,,,
248,NORMIE,,,,,,,,
249,TOSHI,,,,,,,,
250,DOGINME,,,,,,,,
251,MABA,,,,,,,,
252,BENJI,,,,,,,,
253,DEGEN,,,,,,,,
254,BOGE,,,,,,,,
255,DEGENS,,,,,,,,
256,BEPE,,,,,,,,
257,BRETT,,,,,,,,
258,OM,,,,,,,,
259,CPOOL,,,,,,,,
260,DUSK,,,,,,,,
261,ORN,,,,,,,,
262,SHDW,,,,,,,,
263,NOSH,,,,,,,,
264,SERSH,,,,,,,,
265,QORPO,,,,,,,,
266,MUX,,,,,,,,
267,CHEX,,,,,,,,
268,RWA,,,,,,,,
269,GB,,,,,,,,
270,BOSON,,,,,,,,
271,IO,,,,,,,,
272,EMC,,,,,,,,
273,FRY,,,,,,,,
274,PONKE,,,,,,,,
275,PENG,,,,,,,,
276,Hercules DEX,,,,,,,,
277,GTC,,,,,,,,
278,XRWA,,,,,,,,
279,GPT,,,,,,,,
280,ALI,,,,,,,,
281,AI ,,,,,,,,
282,GPU,,,,,,,,
283,INTR,,,,,,,,
284,KONE,,,,,,,,
285,GETBASED,,,,,,,,
286,BONDEX,,,,,,,,
287,NOM,,,,,,,,
288,RSR,,,,,,,,
289,CATCH,,,,,,,,
290,VARA,,,,,,,,
291,MOVE,,,,,,,,
292,ECLIPS,,,,,,,,
293,FLUENT,,,,,,,,
294,Rootstock,,,,,,,,
295,RIF,,,,,,,,
296,KIP,,,,,,,,
297,CRE ,,,,,,,,
298,MoONAD,,,,,,,,
299,GMRX,,,,,,,,
300,GOFURS,,,,,,,,
301,ATR,,,,,,,,
302,PALM,,,,,,,,
303,LL,,,,,,,,
304,MOROS,,,,,,,,
305,KIZUNA,,,,,,,,
306,ZAMA,,,,,,,,
307,TRESTLE,,,,,,,,
308,BVM,,,,,,,,
309,STAMP,,,,,,,,
310,MOR,,,,,,,,
311,BEVM,,,,,,,,
312,GLQ,,,,,,,,
313,OCH,,,,,,,,
314,LRZ,,,,,,,,
315,TOKEN,,,,,,,,
316,MEME,,,,,,,,
317,FEDAI,,,,,,,,
318,ELO,,,,,,,,
319,IX,,,,,,,,
320,OBOT,,,,,,,,
321,NAVI,,,,,,,,
322,CHAT,,,,,,,,
323,BLOCX,,,,,,,,
324,TATSU,,,,,,,,
325,SNS,,,,,,,,
326,AXGT,,,,,,,,
327,MAI,,,,,,,,
328,BLENDR,,,,,,,,
329,SCALE,,,,,,,,
330,PRVA,,,,,,,,
331,FLEEK,,,,,,,,
332,OPMND,,,,,,,,
333,GNS,,,,,,,,
334,PLUME,,,,,,,,
335,AAI,,,,,,,,
336,FLY,,,,,,,,
337,NAI,,,,,,,,
338,GENSYN,,,,,,,,
339,EZKL,,,,,,,,
340,AXIOM,,,,,,,,
341,RITUAL,,,,,,,,
342,RAIN,,,,,,,,
343,GOLEM,,,,,,,,
344,FINTEGRA,,,,,,,,
345,XPRT,,,,,,,,
346,AETHIR,,,,,,,,
347,NOT,,,,,,,,
348,BOB ,,,,,,,,
349,MORPH,,,,,,,,
350,SMH,,,,,,,,
351,MOCA,,,,,,,,
352,WELL3,,,,,,,,
353,PUFF,,,,,,,,
354,TFM,,,,,,,,
355,SWAN,,,,,,,,
